name,accuracyScore_all,macro_precisionScore_all,macro_recallScore_all,macro_f1Score_all,macro_AUC_all
1705074560,0.985,0.9861471861471862,0.985,0.9849718103890119,1.0
1705074560,0.98,0.9821946169772258,0.9800000000000001,0.9799120207514989,1.0
1705074560,0.985,0.9869565217391305,0.985,0.9849151477058454,1.0
1705074560,0.975,0.977056277056277,0.975,0.9749467477323706,1.0
1705074560,0.975,0.9785714285714284,0.975,0.9747948528436334,1.0
1705074560,0.985,0.9869565217391305,0.985,0.9849151477058454,1.0
1705074560,0.98,0.9821946169772258,0.9800000000000001,0.9799120207514989,1.0
1705074560,0.99,0.9904761904761905,0.99,0.9899937460913073,1.0
1705074560,0.985,0.9861471861471861,0.985,0.9849718103890119,1.0
1705074560,0.99,0.990909090909091,0.99,0.9899749373433584,1.0
